run_id,file,mode,policy,authority,reflex_mode,target_mode,invalid_rows,samples,warmup_dropped,fps_mean,ft_p50_ms,ft_p95_ms,ft_p99_ms,ft_p999_ms,pipeline_p50_ms,pipeline_p95_ms,pipeline_p99_ms,target_active_ratio,bounded_wait_allowed_ratio,bounded_wait_attempted_ratio,wait_timeout_count,wait_timeouts_in_window,wait_timeout_rate,swapchain_generation,swapchain_recreations_in_window,timing_queue_size,timing_queue_full_count,timing_queue_recovery_count
20260813_NV_A0_R0,20260813_NV_A0_R0.csv,TelemetryOnly/ReflexOff/none,TelemetryOnly,GenericHost,Off,none,0,12648,600,59.999,16.605,19.281,20.504,21.571,3.959,6.92,7.782,0.0,0.0,0.0,0,0,nan,2,0,16,0,0
20260813_NV_A0_R1,20260813_NV_A0_R1.csv,TelemetryOnly/ReflexOff/none,TelemetryOnly,GenericHost,Off,none,0,12647,600,60.0,16.59,19.429,20.614,21.662,4.081,7.108,8.022,0.0,0.0,0.0,0,0,nan,2,0,16,0,0
20260813_NV_A0_R2,20260813_NV_A0_R2.csv,TelemetryOnly/ReflexOff/none,TelemetryOnly,GenericHost,Off,none,0,12648,600,60.001,16.584,19.376,20.623,21.671,4.147,7.046,7.897,0.0,0.0,0.0,0,0,nan,2,0,16,0,0
20260813_NV_A1_R0,20260813_NV_A1_R0.csv,PresentWait/ReflexOff/none,PresentWait,GenericPresentTiming,Off,none,0,12650,600,60.001,16.607,19.337,20.606,21.829,4.166,7.078,7.895,0.0,1.0,1.0,13,12,0.000949,2,0,16,0,0
20260813_NV_A1_R1,20260813_NV_A1_R1.csv,PresentWait/ReflexOff/none,PresentWait,GenericPresentTiming,Off,none,0,12648,600,59.999,16.59,19.292,20.493,21.539,4.046,6.967,7.822,0.0,1.0,1.0,13,12,0.000949,2,0,16,0,0
20260813_NV_A1_R2,20260813_NV_A1_R2.csv,PresentWait/ReflexOff/none,PresentWait,GenericPresentTiming,Off,none,0,12648,600,59.998,16.601,19.368,20.681,21.797,4.119,7.137,8.068,0.0,1.0,1.0,7,7,0.000553,2,0,16,0,0
20260813_NV_A2_R0,20260813_NV_A2_R0.csv,JustInTime/ReflexOff/relative,JustInTime,GenericPresentTiming,Off,relative,0,12650,600,60.0,16.604,19.357,20.513,21.885,3.943,6.91,7.847,1.0,1.0,1.0,2,0,0.0,2,0,16,0,0
20260813_NV_A2_R1,20260813_NV_A2_R1.csv,JustInTime/ReflexOff/relative,JustInTime,GenericPresentTiming,Off,relative,0,12649,600,60.0,16.626,19.13,20.352,21.604,3.774,6.735,7.588,1.0,1.0,1.0,2,0,0.0,2,0,16,0,0
20260813_NV_A2_R2,20260813_NV_A2_R2.csv,JustInTime/ReflexOff/relative,JustInTime,GenericPresentTiming,Off,relative,0,12646,600,60.0,16.591,19.378,20.519,21.654,4.053,7.002,7.897,1.0,1.0,1.0,2,0,0.0,2,0,16,0,0
20260813_NV_A3_R0,20260813_NV_A3_R0.csv,JustInTimeFifoLatestReady/ReflexOff/relative,JustInTimeFifoLatestReady,GenericPresentTiming,Off,relative,0,12648,600,60.0,16.6,19.382,20.498,21.645,4.159,7.034,7.835,1.0,1.0,1.0,3,1,7.9e-05,2,0,16,0,0
